#{"t_start": 1779068000.972277, "env_id": "None"}
r,l,t
-0.153753,3,8.807944
-0.270316,4,8.82654
0.008564,2,8.837931
0.130732,3,8.853423
0.009907,3,8.86895
-0.82563,7,8.903057
-0.01,1,8.911793
-0.01,1,8.917345
-0.022,3,8.933432
-0.679574,8,8.969276
-0.29437,15,9.046575
-0.475877,5,9.070689
-0.01,1,9.076032
-0.334537,8,9.117153
-0.007614,6,9.148716
0.027955,5,9.174671
-0.307877,5,9.198344
0.009963,2,9.209601
-0.6578,21,9.309366
-0.243826,9,9.351622
-0.612961,8,9.388918
-0.01,1,9.39436
0.110786,5,9.422214
-0.595772,20,9.517823
-0.401661,6,9.547918
-0.01,1,9.553296
0.151755,6,9.584812
0.041055,2,9.594612
0.112493,4,9.614844
0.046859,2,9.62804
-0.275618,6,9.658121
-0.01,1,9.663465
-0.614002,11,9.715029
0.033579,4,9.736298
0.103268,4,9.758238
-0.01,1,9.763708
-0.01,1,9.770378
-0.016,2,9.780257
-0.563684,7,9.817474
0.091518,4,9.839445
-0.288411,9,9.882598
-0.793875,7,9.915934
0.000648,2,9.927355
-0.261713,7,9.961638
-0.456833,10,10.008952
-0.01,1,10.014553
0.06719,3,10.0318
-0.01,1,10.038435
-0.505778,13,10.099504
0.002317,2,10.110833
0.166724,3,10.127102
-0.100473,5,10.153882
-0.143773,4,10.173713
0.123881,5,10.199237
-0.329514,4,10.220354
0.124134,4,10.240366
0.013241,2,10.2512
-0.33394,4,10.270682
-0.47047,13,10.333285
-0.01,1,10.338608
-0.231346,2,10.347515
-0.536056,2,10.358699
-0.245299,17,10.441328
0.042462,2,10.453456
-0.01,1,10.458935
-0.279863,3,10.473569
-0.751761,4,10.493683
-0.01,1,10.499261
-0.406465,6,10.527732
-0.267222,5,10.554571
0.029902,2,10.565761
-0.01,1,10.571179
-0.429956,2,10.581433
-0.511699,5,10.604887
-0.311279,8,10.64485
-0.587806,3,10.659659
-0.415469,7,10.692241
-0.59585,6,10.720103
-0.293979,4,10.741308
0.029176,4,10.762831
-0.33743,17,10.84357
-0.58825,6,10.873895
0.112021,6,10.905466
-0.016,2,10.9167
0.019451,5,10.941969
-0.282216,12,11.000357
-0.301879,9,11.044684
-0.01,1,11.051163
-0.539731,5,11.07502
-0.389696,13,11.138767
-0.522105,12,11.199419
-0.444937,8,11.237405
0.24433,9,11.281171
-0.656341,2,11.29148
0.068854,3,11.308406
-0.000847,5,11.333384
-0.521738,5,11.356822
-0.01,1,11.362325
-0.570349,8,11.402189
-0.01,1,11.408845
-0.467624,5,11.433291
-0.795595,24,11.547768
-0.170181,10,11.598687
-0.598852,9,11.641158
-1.385431,25,11.755118
-0.277067,8,11.794718
-0.598283,24,11.910252
0.0931,2,11.92035
0.023302,2,11.932145
0.11806,4,11.952657
-0.430524,3,11.96913
0.015341,4,11.990379
-0.01,1,11.995876
-0.40487,6,12.025204
-0.410831,4,12.047552
-0.01,1,12.054099
-0.533079,10,12.100301
-0.342774,2,12.110857
-0.245399,10,12.160103
-0.279848,5,12.183865
-0.01,1,12.190618
0.086098,10,12.239877
-0.231891,2,12.251532
-0.421828,2,12.260551
-0.016,2,12.271451
-0.01,1,12.276881
-0.002226,3,12.294073
-0.411643,7,12.327811
0.09304,4,12.347882
-0.845043,23,12.456496
-0.138136,6,12.487451
-0.711578,4,12.50669
-0.016,2,12.516908
0.011047,4,12.537083
0.017031,2,12.549476
0.040551,2,12.55933
-0.01,1,12.564627
-0.186108,5,12.589577
-0.01,1,12.596342
-0.192836,6,12.626407
-0.01,1,12.632971
-0.01,1,12.638371
-0.01,1,12.644981
-0.912745,10,12.691495
-0.01,1,12.697023
-0.532045,26,12.823598
0.120738,2,12.83662
0.027424,2,12.847024
0.012022,2,12.85903
-0.01,1,12.864878
-0.01,1,12.872
-0.533316,3,12.887688
-0.898904,7,12.923836
-0.344191,3,12.939096
-0.254743,4,12.959933
-0.851119,8,12.995688
-0.157563,12,13.055709
-0.322235,12,13.113261
0.03773,3,13.131147
-0.167546,14,13.204767
-0.242735,5,13.230536
0.119378,5,13.255768
0.009978,2,13.268334
-0.362877,7,13.30168
0.006136,2,13.311621
0.060743,2,13.323071
-0.552322,8,13.364777
-0.803075,3,13.377786
-0.580235,8,13.41405
0.014168,6,13.445624
0.066005,5,13.472975
-0.469386,3,13.488094
0.078048,3,13.503395
0.043701,3,13.517843
-0.01,1,13.526164
0.005555,2,13.537545
-0.483746,3,13.552964
