method,initial_length,final_length,best_length,relative_improvement,num_steps,runtime_sec,instance_id,num_nodes,distribution,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt,total_reward
nearest_neighbor_two_opt,7.024932836579338,7.024932836579338,7.024932836579338,0.0,1,0.001774732954800129,33,50,uniform,,,,,,
random_operator,7.024932836579338,6.838254397931988,6.838254397931988,0.02657369728509031,62,0.08478926308453083,33,50,uniform,1.0,17.0,16.0,9.0,19.0,
fixed_schedule,7.024932836579338,5.985651124595181,5.985651124595181,0.14794187163933314,37,0.06315855192951858,33,50,uniform,0.0,13.0,12.0,12.0,0.0,
nearest_neighbor,6.749194172343251,6.749194172343251,6.749194172343251,0.0,0,0.0001446269452571869,34,50,uniform,,,,,,
nearest_neighbor_two_opt,6.749194172343251,5.8967145523115585,5.8967145523115585,0.12630835597010542,10,0.015637311851605773,34,50,uniform,,,,,,
random_operator,6.749194172343251,6.35699256900936,6.35699256900936,0.05811087862030245,12,0.01627284288406372,34,50,uniform,1.0,3.0,3.0,3.0,2.0,
fixed_schedule,6.749194172343251,5.984528346922877,5.984528346922877,0.11329735163848303,15,0.02382407314144075,34,50,uniform,0.0,5.0,5.0,5.0,0.0,
nearest_neighbor,7.1529269575198136,7.1529269575198136,7.1529269575198136,0.0,0,0.0001375910360366106,35,50,uniform,,,,,,
nearest_neighbor_two_opt,7.1529269575198136,6.32886042483744,6.32886042483744,0.11520689887879249,7,0.011080353055149317,35,50,uniform,,,,,,
random_operator,7.1529269575198136,6.949139998771165,6.949139998771165,0.028490009748304353,17,0.02219713293015957,35,50,uniform,1.0,4.0,3.0,4.0,5.0,
fixed_schedule,7.1529269575198136,6.270991393859389,6.270991393859389,0.12329715777864232,21,0.03359283390454948,35,50,uniform,0.0,7.0,7.0,7.0,0.0,
nearest_neighbor,6.4627061067320835,6.4627061067320835,6.4627061067320835,0.0,0,0.00014910311438143253,36,50,uniform,,,,,,
nearest_neighbor_two_opt,6.4627061067320835,5.736746426142566,5.736746426142566,0.11233060402256241,10,0.016539480071514845,36,50,uniform,,,,,,
random_operator,6.4627061067320835,6.12548933903421,6.12548933903421,0.05217888019797176,3,0.0037158529739826918,36,50,uniform,1.0,1.0,0.0,1.0,0.0,
fixed_schedule,6.4627061067320835,5.909740901346464,5.909740901346464,0.08556248671274179,15,0.02510447194799781,36,50,uniform,0.0,5.0,5.0,5.0,0.0,
nearest_neighbor,6.427432418238643,6.427432418238643,6.427432418238643,0.0,0,0.00013472908176481724,37,50,uniform,,,,,,
nearest_neighbor_two_opt,6.427432418238643,6.427432418238643,6.427432418238643,0.0,1,0.0017566208261996508,37,50,uniform,,,,,,
random_operator,6.427432418238643,6.293316242684063,6.293316242684063,0.02086621326021397,32,0.042641896987333894,37,50,uniform,1.0,5.0,16.0,2.0,8.0,
fixed_schedule,6.427432418238643,5.653398519278061,5.653398519278061,0.12042661028440604,17,0.02703607897274196,37,50,uniform,0.0,6.0,6.0,5.0,0.0,
nearest_neighbor,6.640142033344044,6.640142033344044,6.640142033344044,0.0,0,0.0001580999232828617,38,50,uniform,,,,,,
nearest_neighbor_two_opt,6.640142033344044,6.54666859238612,6.54666859238612,0.014077024329982544,2,0.0032581950072199106,38,50,uniform,,,,,,
random_operator,6.640142033344044,6.640142033344044,6.640142033344044,0.0,11,0.013782515190541744,38,50,uniform,1.0,1.0,4.0,2.0,3.0,
fixed_schedule,6.640142033344044,5.682616038524445,5.682616038524445,0.14420263753565807,27,0.04307828703895211,38,50,uniform,0.0,9.0,9.0,9.0,0.0,
nearest_neighbor,6.45069359354844,6.45069359354844,6.45069359354844,0.0,0,0.00014500203542411327,39,50,uniform,,,,,,
nearest_neighbor_two_opt,6.45069359354844,5.793742652286652,5.793742652286652,0.10184190765452368,9,0.014326095813885331,39,50,uniform,,,,,,
random_operator,6.45069359354844,6.310207856774473,6.310207856774473,0.021778392468442733,4,0.004858477972447872,39,50,uniform,1.0,2.0,1.0,0.0,0.0,
fixed_schedule,6.45069359354844,5.627062148385966,5.627062148385966,0.12768106765855625,20,0.03249750193208456,39,50,uniform,0.0,7.0,7.0,6.0,0.0,
nearest_neighbor,7.308393997388081,7.308393997388081,7.308393997388081,0.0,0,0.0001363630872219801,40,50,uniform,,,,,,
nearest_neighbor_two_opt,7.308393997388081,6.6015028622396565,6.6015028622396565,0.09672318369823216,7,0.011069705011323094,40,50,uniform,,,,,,
random_operator,7.308393997388081,6.77328702335349,6.77328702335349,0.0732181344117232,20,0.028300786158069968,40,50,uniform,1.0,10.0,3.0,3.0,3.0,
fixed_schedule,7.308393997388081,6.086591666158477,6.086591666158477,0.16717795067784513,23,0.03646727302111685,40,50,uniform,0.0,8.0,8.0,7.0,0.0,
nearest_neighbor,6.928754837252929,6.928754837252929,6.928754837252929,0.0,0,0.00016258587129414082,41,50,uniform,,,,,,
nearest_neighbor_two_opt,6.928754837252929,6.497311783935652,6.497311783935652,0.06226848307542839,3,0.004826421150937676,41,50,uniform,,,,,,
random_operator,6.928754837252929,6.928754837252929,6.928754837252929,0.0,3,0.0027177941519767046,41,50,uniform,1.0,0.0,0.0,1.0,1.0,
fixed_schedule,6.928754837252929,6.316353580238265,6.316353580238265,0.08838547060751036,7,0.011228257790207863,41,50,uniform,0.0,3.0,2.0,2.0,0.0,
nearest_neighbor,7.126168975996055,7.126168975996055,7.126168975996055,0.0,0,0.0001583280973136425,42,50,uniform,,,,,,
nearest_neighbor_two_opt,7.126168975996055,6.225187614768776,6.225187614768776,0.12643278096017152,8,0.01265889615751803,42,50,uniform,,,,,,
random_operator,7.126168975996055,7.011630770282462,7.011630770282462,0.016072900614538657,19,0.025165227940306067,42,50,uniform,1.0,1.0,4.0,7.0,6.0,
fixed_schedule,7.126168975996055,5.583938008896754,5.583938008896754,0.21641796206267153,22,0.036231568083167076,42,50,uniform,0.0,8.0,7.0,7.0,0.0,
