method,initial_length,final_length,best_length,relative_improvement,num_steps,runtime_sec,instance_id,num_nodes,distribution,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt,total_reward,eval_distribution,eval_num_nodes
fixed_schedule,10.618333972546653,9.976901034449947,9.976901034449947,0.06040805834089505,20,0.04103919607587159,6,100,uniform,0.0,7.0,7.0,6.0,0.0,,uniform,100
nearest_neighbor,9.575300529911827,9.575300529911827,9.575300529911827,0.0,0,0.00042786216363310814,7,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.575300529911827,9.389675140731713,9.389675140731713,0.01938585515934957,5,0.010016646003350616,7,100,uniform,,,,,,,uniform,100
random_operator,9.575300529911827,9.397856691195608,9.397856691195608,0.018531411955364754,9,0.014732613926753402,7,100,uniform,1.0,3.0,4.0,0.0,1.0,,uniform,100
fixed_schedule,9.575300529911827,9.467669936701766,9.467669936701766,0.01124044022157204,6,0.012743197148665786,7,100,uniform,0.0,2.0,2.0,2.0,0.0,,uniform,100
nearest_neighbor,8.667090820193168,8.667090820193168,8.667090820193168,0.0,0,0.0004264309536665678,8,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,8.667090820193168,8.525092202762927,8.525092202762927,0.016383654028339398,3,0.006230284925550222,8,100,uniform,,,,,,,uniform,100
random_operator,8.667090820193168,8.667090820193168,8.667090820193168,0.0,15,0.02873195894062519,8,100,uniform,1.0,3.0,0.0,8.0,3.0,,uniform,100
fixed_schedule,8.667090820193168,8.596378808231476,8.596378808231476,0.008158679011063647,7,0.0146596550475806,8,100,uniform,0.0,3.0,2.0,2.0,0.0,,uniform,100
nearest_neighbor,9.185304376608132,9.185304376608132,9.185304376608132,0.0,0,0.0004546309355646372,9,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.185304376608132,9.027487746452719,9.027487746452719,0.017181426296260616,3,0.006575864041224122,9,100,uniform,,,,,,,uniform,100
random_operator,9.185304376608132,9.185304376608132,9.185304376608132,0.0,1,0.00043468200601637363,9,100,uniform,1.0,0.0,0.0,0.0,0.0,,uniform,100
fixed_schedule,9.185304376608132,8.767212623873597,8.767212623873597,0.04551746306842843,16,0.03363805101253092,9,100,uniform,0.0,6.0,5.0,5.0,0.0,,uniform,100
nearest_neighbor,9.828626082829846,9.828626082829846,9.828626082829846,0.0,0,0.000437046866863966,10,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.828626082829846,9.436553449009576,9.436553449009576,0.039890889175772236,11,0.021685705985873938,10,100,uniform,,,,,,,uniform,100
random_operator,9.828626082829846,9.828626082829846,9.828626082829846,0.0,9,0.013140073977410793,10,100,uniform,1.0,2.0,1.0,1.0,4.0,,uniform,100
fixed_schedule,9.828626082829846,8.873163809244481,8.873163809244481,0.09721219075110743,24,0.05029081297107041,10,100,uniform,0.0,8.0,8.0,8.0,0.0,,uniform,100
nearest_neighbor,10.068011328849472,10.068011328849472,10.068011328849472,0.0,0,0.000415049958974123,11,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,10.068011328849472,9.599672230295393,9.599672230295393,0.046517537898678414,7,0.014017904875800014,11,100,uniform,,,,,,,uniform,100
random_operator,10.068011328849472,9.820955424401475,9.820955424401475,0.0245386994887529,7,0.01331804902292788,11,100,uniform,1.0,1.0,2.0,3.0,0.0,,uniform,100
fixed_schedule,10.068011328849472,9.326757917443032,9.326757917443032,0.07362461038183467,27,0.05575505690649152,11,100,uniform,0.0,9.0,9.0,9.0,0.0,,uniform,100
nearest_neighbor,9.450667751383977,9.450667751383977,9.450667751383977,0.0,0,0.00043259095400571823,12,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.450667751383977,9.178617026846345,9.178617026846345,0.02878640236800115,5,0.01027664402499795,12,100,uniform,,,,,,,uniform,100
random_operator,9.450667751383977,9.306834154130255,9.306834154130255,0.015219411055124409,11,0.020061725983396173,12,100,uniform,1.0,2.0,3.0,3.0,2.0,,uniform,100
fixed_schedule,9.450667751383977,9.285385303643533,9.285385303643533,0.01748897031283731,10,0.021053754026070237,12,100,uniform,0.0,4.0,3.0,3.0,0.0,,uniform,100
nearest_neighbor,9.529463202926925,9.529463202926925,9.529463202926925,0.0,0,0.0004416611045598984,13,100,uniform,,,,,,,uniform,100
nearest_neighbor_two_opt,9.529463202926925,9.37588823886345,9.37588823886345,0.016115804300110566,2,0.004512828076258302,13,100,uniform,,,,,,,uniform,100
random_operator,9.529463202926925,9.15522656575362,9.15522656575362,0.03927153389483253,57,0.10551282996311784,13,100,uniform,1.0,13.0,16.0,14.0,13.0,,uniform,100
fixed_schedule,9.529463202926925,9.254363044504059,9.254363044504059,0.028868379316305086,9,0.018937333952635527,13,100,uniform,0.0,3.0,3.0,3.0,0.0,,uniform,100
nearest_neighbor,9.769253239951965,9.769253239951965,9.769253239951965,0.0,0,0.0004151100292801857,14,100,uniform,,,,,,,uniform,100
