#{"t_start": 1779103820.1393487, "env_id": "None"}
r,l,t
0.221929,3,63.596402
0.220267,14,63.900146
0.302713,10,64.089742
-0.03849,9,64.225049
-0.0022,2,64.234859
0.349185,2,64.403272
0.358458,11,64.759891
0.284247,8,64.961208
0.192243,11,65.163841
0.438792,3,65.361917
0.037775,3,65.377864
0.161421,4,65.399315
0.254771,2,65.55243
0.286419,10,65.813666
0.102743,11,66.040169
0.09522,3,66.165927
0.279015,2,66.263175
-0.02,1,66.268791
-0.02,1,66.274302
0.364452,5,66.404777
0.290533,5,66.54896
0.366077,7,66.792176
0.270802,5,66.909108
0.424829,4,67.070863
-0.031518,25,67.614301
0.220963,8,67.84118
0.396547,3,68.018643
-0.244365,30,68.540485
0.095706,9,68.768489
0.027802,3,68.784645
-0.000728,23,69.219724
0.368459,3,69.4051
0.424214,5,69.663627
0.285348,6,69.927318
-0.181567,2,69.937615
0.304447,5,70.204593
-0.02,1,70.210122
0.288018,11,70.382911
0.404695,12,70.8046
0.226115,12,71.039891
-0.038108,12,71.398027
-0.02,1,71.403352
0.154386,22,71.83201
0.005372,2,71.845167
0.139568,2,71.940364
0.059057,5,72.055499
0.318708,8,72.300674
-0.02,1,72.307628
-0.020955,11,72.456035
0.132357,6,72.553623
-0.02,1,72.559331
0.234483,11,72.807868
0.020486,6,72.835109
0.215966,12,73.134007
-0.07568,9,73.401058
-0.008176,3,73.417758
0.169563,11,73.659475
0.571388,9,73.895467
0.243956,7,74.193201
0.08633,2,74.204585
-0.02,1,74.211503
0.313097,6,74.438462
0.239804,12,74.791481
0.117031,12,75.01809
0.189577,4,75.284614
0.46242,4,75.485873
-0.019547,8,75.778584
0.237027,24,76.328932
-0.02,1,76.334437
0.292278,4,76.459048
0.185455,9,76.658933
-0.02,1,76.666378
0.275905,18,77.122173
0.048958,3,77.13925
0.13267,6,77.300633
0.062889,25,77.961717
0.022098,2,77.971221
-0.02,1,77.977873
0.265973,11,78.194448
0.26785,29,78.600322
-0.150926,5,78.623664
0.295544,8,78.947787
0.161806,9,79.183537
0.033916,8,79.375101
0.226376,3,79.53915
0.347696,7,79.764651
-0.239022,30,80.479189
0.394415,12,80.71824
-0.055473,12,80.992441
-0.02128,6,81.147416
0.06169,8,81.306796
-0.02,1,81.313567
-0.008052,30,81.729698
-0.02,1,81.736626
0.30516,6,81.941392
0.360023,7,82.103909
-0.117238,30,82.452182
-0.02,1,82.45887
-0.02,1,82.464148
0.384307,13,82.892159
-0.014956,7,83.065739
0.218672,15,83.565363
-0.172553,2,83.574897
0.097104,16,83.93539
0.022308,9,84.106492
0.043179,7,84.371279
0.337012,6,84.559746
0.014324,24,85.010238
0.424003,6,85.261449
0.267201,2,85.349581
0.299089,15,85.71139
0.081487,18,86.100299
0.034982,22,86.65151
0.321714,9,86.949378
0.270541,9,87.174861
-0.02,1,87.181609
0.081318,24,87.646381
0.343424,9,87.92473
0.26801,5,88.062118
0.198937,3,88.218672
0.026998,3,88.234019
0.189153,20,88.637903
0.283797,4,88.744127
0.354815,3,88.857146
0.361076,15,89.369081
-0.02,1,89.375273
0.168254,18,89.785962
0.055159,5,89.965444
0.285479,5,90.152406
0.07451,5,90.249685
-0.02,1,90.25616
0.276651,5,90.448542
0.160976,4,90.64226
0.189758,8,90.913033
0.082868,10,91.108967
-0.095655,30,91.701452
0.270584,4,91.88866
-0.078845,15,92.176834
0.42246,3,92.355438
0.229021,5,92.547475
0.104797,26,93.07205
0.038945,13,93.375498
0.456517,6,93.669407
0.165385,6,93.928688
0.244956,25,94.316551
-0.018978,5,94.467208
0.333902,9,94.796559
0.121296,3,94.887467
0.000243,2,94.897577
0.492062,5,95.071807
0.105503,5,95.251208
-0.032311,5,95.455425
-0.02,1,95.460693
0.192557,17,95.792619
-0.02,1,95.80003
0.015426,2,95.812299
0.11755,2,95.825543
-0.02,1,95.831345
0.233349,3,95.997129
0.389679,2,96.15711
0.180456,2,96.215523
-0.02,1,96.220883
0.257581,5,96.393455
0.492464,2,96.520902
0.110066,19,96.994806
-0.009686,23,97.462843
0.014689,15,97.813406
0.085282,18,98.205635
0.26271,9,98.56865
0.477254,6,98.740927
0.047951,3,98.756238
0.064589,19,99.181815
0.236517,7,99.384866
0.148781,13,99.877569
-0.02,1,99.883096
-0.064862,23,100.293265
0.065078,4,100.411468
0.082799,9,100.597135
0.156082,6,100.763134
-0.182544,30,101.456226
0.268605,13,101.779733
0.155097,2,101.930398
-0.229475,30,102.622613
0.303466,5,102.786216
-0.001699,4,102.804897
0.296075,17,103.041549
0.360799,9,103.213305
0.066317,2,103.224494
0.281133,6,103.422382
0.38255,4,103.593431
0.124453,8,103.744397
-0.02,1,103.75209
-0.02,1,103.757321
0.354321,4,103.965913
-0.02,1,103.972797
0.423809,2,104.107538
-0.341592,9,104.148801
0.068885,9,104.335837
-0.02,1,104.341183
0.000637,19,104.775572
0.186346,18,105.24241
-0.02,1,105.247906
0.148717,8,105.432208
0.082835,15,105.724439
-0.02,1,105.729974
-0.214558,10,105.923345
0.100588,9,106.159502
0.09035,2,106.17335
0.250879,10,106.377308
0.150121,6,106.574058
0.105487,13,106.939513
-0.02,1,106.946443
0.306165,2,107.064933
-0.177158,18,107.590054
0.31937,13,107.907817
0.286562,3,108.011383
0.043941,14,108.324429
-0.040989,18,108.874183
0.492468,3,108.983544
0.239013,8,109.227131
0.189517,8,109.418852
0.426949,5,109.558794
0.462155,5,109.749477
0.230147,8,110.008773
0.0544,9,110.342206
0.047142,7,110.558629
0.210795,6,110.712701
-0.02,1,110.719834
0.087161,5,110.875866
0.313279,11,111.059957
0.3835,8,111.304272
0.231422,4,111.393837
0.095389,9,111.490495
0.206995,11,111.760906
0.222713,12,111.991041
0.259613,2,112.130922
0.135576,10,112.486264
0.074051,21,113.017724
0.300153,9,113.201699
0.468629,5,113.454734
-0.02,1,113.460164
0.428849,3,113.648072
0.348368,4,113.793098
0.248986,7,113.924118
-0.02,1,113.929467
0.013921,2,113.939013
0.328969,10,114.213667
0.361795,2,114.308681
0.315926,4,114.465599
0.182671,16,115.018772
0.0657,21,115.652073
-0.301084,30,116.010351
0.349145,2,116.156408
0.193157,5,116.353482
0.453157,7,116.571548
0.274079,5,116.755592
0.306462,12,117.0908
0.015527,22,117.700744
0.083661,14,118.014146
-0.02,1,118.021167
0.130853,6,118.146495
0.322568,3,118.360822
0.314415,7,118.523242
0.130148,23,119.010824
0.075443,5,119.190075
0.187751,12,119.586538
0.115618,7,119.790068
0.342425,2,119.919403
0.246917,10,120.153734
0.485292,6,120.415644
0.443514,4,120.598776
0.397769,5,120.867034
0.361449,2,120.975585
0.080624,5,121.145921
-0.02,1,121.152947
0.214881,16,121.560729
0.208788,9,121.859059
0.159916,10,122.061126
0.081614,16,122.501778
0.395122,8,122.646846
0.019698,18,123.126736
0.320323,12,123.381667
0.323575,16,123.732006
0.295648,7,123.912411
0.153501,6,124.035138
-0.02,1,124.04036
0.051286,6,124.167431
-0.128538,3,124.183411
0.300001,13,124.507171
0.07037,13,124.765464
0.13028,16,125.1408
0.429273,3,125.315258
-0.243473,28,126.029524
-0.111446,2,126.038241
-0.02,1,126.044779
0.19239,3,126.192552
-0.173872,6,126.342262
0.379951,9,126.639192
0.149688,13,127.009918
-0.186291,28,127.593057
0.295601,10,127.872122
0.330045,6,128.176911
0.130527,11,128.542251
-0.02,1,128.549385
0.093393,3,128.565523
0.352634,3,128.67136
0.136662,4,128.8284
0.510108,3,128.985033
0.100331,18,129.564821
0.125288,3,129.720774
-0.02,1,129.726097
0.1099,13,129.996016
-0.12589,11,130.209815
0.148784,8,130.463011
-0.195778,15,130.682572
-0.02,1,130.689404
0.216138,5,131.057445
0.210524,3,131.251431
0.196907,18,131.712944
0.166728,18,132.328567
-0.009664,3,132.344079
0.343885,13,132.565596
0.351659,8,132.836576
0.390006,6,133.010349
-0.02,1,133.015879
0.176081,3,133.089987
0.207739,10,133.429696
0.403915,3,133.603008
-0.027152,12,133.850417
0.263637,5,134.096131
0.272091,10,134.311011
0.309097,5,134.491858
0.01927,9,134.856168
0.269522,5,135.089703
-0.02,1,135.096915
0.341721,9,135.489341
-0.02,1,135.494664
0.175137,3,135.60373
0.39557,3,135.743319
0.060419,23,136.385568
0.33114,13,136.831854
0.130379,5,136.983455
0.38491,2,137.127632
0.174397,9,137.383959
0.325542,18,137.705562
0.139606,10,138.079921
0.421726,5,138.312282
0.138074,7,138.473238
-0.02,1,138.478542
0.302897,2,138.616481
0.257488,8,138.842193
0.034276,6,139.070963
-0.02,1,139.076371
0.169182,11,139.386839
0.15377,13,139.624781
-0.165561,30,140.422956
0.071829,14,140.782113
0.510056,8,141.080002
-0.02,1,141.085301
0.143448,4,141.222038
-0.02,1,141.229301
0.45304,6,141.436292
0.113009,7,141.706925
0.024711,3,141.800986
-0.02,1,141.806623
0.243571,12,142.420489
0.26417,18,143.069176
0.103568,17,143.578727
0.472789,12,143.845306
0.359362,2,143.978836
0.014114,30,144.562896
0.391862,3,144.746491
0.279942,2,144.852168
0.310223,13,145.142257
-0.10789,5,145.165271
0.178187,19,145.870424
0.148734,13,146.234163
0.211548,19,146.671331
0.181891,5,146.816132
0.290109,14,147.064485
0.367835,14,147.473883
-0.101375,28,148.537342
0.076415,14,149.046504
0.373116,7,149.325317
-0.023587,14,149.846579
0.499906,4,149.979748
0.325377,8,150.178091
-0.110931,30,150.730221
0.313825,7,150.954768
-0.06955,17,151.518281
0.028305,2,151.52807
0.147662,15,152.000639
0.070248,7,152.130829
0.387376,8,152.286475
0.624197,4,152.402659
-0.044512,14,152.713756
0.470605,10,153.002894
0.480146,9,153.205825
0.183683,6,153.432886
0.048206,12,153.72689
0.266308,2,153.855495
0.480655,6,154.043876
0.496653,4,154.287877
-0.202817,24,155.106238
-0.02,1,155.11344
0.414005,3,155.253516
0.453288,8,155.448834
0.290304,7,155.669128
0.175228,13,156.070306
0.043034,12,156.477571
0.02731,12,156.916336
-0.076953,19,157.480351
-0.02,1,157.485759
0.053191,9,157.706208
0.209554,14,158.026706
0.257885,3,158.119488
-0.11665,30,159.134562
-0.27151,10,159.51816
0.19191,6,159.755776
-0.123176,30,160.336602
0.199789,25,160.895397
0.289454,6,161.062329
0.042603,10,161.27704
0.207982,9,161.490414
0.063958,28,162.142542
-0.01418,24,162.920897
0.203844,10,163.18699
-0.041663,9,163.403125
0.083065,27,163.860599
0.198796,16,164.290646
0.043273,14,164.762216
0.32374,9,164.936096
0.071002,19,165.475364
0.393257,8,165.688992
-0.02,1,165.696052
0.202723,13,166.094884
0.117636,28,166.515903
0.37485,9,166.884504
0.238063,7,167.12225
0.11153,14,167.465546
0.409511,8,167.748523
0.041103,4,167.928874
-0.16847,25,168.324692
0.285009,4,168.449781
0.29166,5,168.622123
0.303756,2,168.750556
-0.158271,29,169.388883
0.313912,8,169.692793
0.549927,3,169.895023
0.186372,9,170.170545
-0.260496,2,170.179301
0.16443,14,170.547774
-0.14208,13,171.076542
0.312401,4,171.239021
0.34013,4,171.495901
0.366209,4,171.757991
-0.02,1,171.763624
-0.012626,30,172.417809
0.106924,10,172.713623
0.373146,13,173.009417
-0.157204,3,173.02478
-0.523139,4,173.04254
0.299264,15,173.396058
0.262095,3,173.413323
0.222081,8,173.618655
0.285052,3,173.78182
0.182529,20,174.126376
-0.197313,7,174.283525
0.25606,11,174.698095
0.2136,10,174.881214
-0.100447,28,175.504102
-0.2224,30,176.497958
0.327056,3,176.708289
-0.02,1,176.714177
-0.176088,30,177.769431
0.132259,5,177.999532
0.137411,10,178.328067
0.377481,5,178.49341
0.229023,11,178.830844
0.245002,7,179.089908
-0.02,1,179.095491
0.318217,7,179.412061
0.155986,4,179.580553
0.378454,14,179.791633
0.313056,3,179.945012
0.314387,5,180.216543
0.133208,13,180.477293
0.255071,5,180.664417
0.102429,4,180.883442
0.274462,16,181.348448
-0.002573,23,181.86759
-0.119165,20,182.520729
-0.29527,16,182.950461
0.468082,17,183.27718
0.265563,8,183.551145
0.271853,5,183.749804
0.21557,4,183.940826
-0.31583,30,184.941513
0.139612,5,185.082055
0.195309,6,185.30472
0.30116,13,185.547554
0.40103,10,185.852846
0.411151,5,185.973906
0.265686,12,186.296246
0.234033,20,186.693589
0.165963,15,187.22631
0.547705,4,187.503825
0.13313,23,188.000883
-0.09329,25,188.704229
0.25274,7,188.894672
0.191033,4,189.017767
0.285218,18,189.373041
0.238167,10,189.742979
0.213954,5,189.920373
0.275704,12,190.242031
0.283183,17,190.646215
-0.02,1,190.654075
0.224206,9,191.047881
0.384763,4,191.262162
-0.074631,28,191.853995
0.116295,21,192.540617
0.353504,9,192.764722
0.363948,10,193.091874
0.205652,14,193.463847
0.176747,12,193.746212
-0.00309,9,194.168963
-0.252853,30,194.810064
0.344181,13,195.164259
0.432438,7,195.367161
-0.032113,25,195.886859
0.514631,8,196.160622
0.152784,20,196.557959
0.270216,4,196.666367
0.132032,3,196.80851
0.432392,6,196.997524
0.410194,4,197.184463
0.115394,4,197.322556
-0.1108,2,197.331345
0.207463,10,197.580002
-0.211805,30,198.318785
0.39532,5,198.492444
0.322701,6,198.665448
0.357453,3,198.793147
0.32027,27,199.20733
0.290352,17,199.882572
0.049305,18,200.438601
0.004673,16,200.836895
-0.119391,30,201.661079
0.383375,5,201.789571
0.210843,8,201.973245
0.249028,9,202.333975
0.340494,5,202.499837
0.106309,4,202.718296
0.204407,11,202.990498
0.359346,2,203.136903
0.130351,3,203.25439
0.244006,3,203.364357
0.168555,10,203.616725
-0.02,1,203.622028
0.108888,5,203.719918
0.298277,3,203.873909
0.167843,12,204.07584
0.070448,14,204.644087
0.279771,8,204.816878
-0.02,1,204.823275
0.21118,3,204.939064
0.197004,14,205.389671
0.339488,4,205.585552
-0.02,1,205.590994
0.356334,3,205.74926
-0.100409,2,205.758357
0.18415,4,205.915747
-0.02,1,205.92347
0.427207,5,206.111881
-0.022996,26,206.949309
-0.02,1,206.957807
0.232428,7,207.146564
-0.02,1,207.153233
0.252734,17,207.568662
0.274601,2,207.671751
0.373234,3,207.913703
-0.23575,15,208.331423
0.162013,18,208.694119
0.194826,24,209.236544
-0.02,1,209.243229
0.298141,6,209.427418
0.145331,4,209.495163
0.242242,2,209.627046
-0.160341,22,210.287477
0.41267,4,210.44619
0.060612,12,210.80017
0.177604,10,211.225143
-0.075933,25,211.928002
-0.02,1,211.933324
0.190039,6,212.042241
0.303947,8,212.220111
-0.02,1,212.225568
-0.273825,30,212.888061
0.610373,3,213.034597
-0.02,1,213.041317
0.228143,26,213.483115
0.075369,14,213.772523
0.172406,7,213.954866
-0.02,1,213.961452
0.33587,7,214.142876
0.382823,3,214.234251
-0.02,1,214.239556
0.151593,6,214.389698
-0.02,1,214.395006
0.288827,5,214.592246
0.229317,12,214.868753
-0.044491,28,215.449011
0.362886,3,215.573637
0.12834,5,215.717824
0.339901,2,215.869714
0.011041,2,215.882809
-0.02,1,215.888595
0.057421,7,216.073764
-0.200965,2,216.084548
0.010967,2,216.097063
-0.02,1,216.102528
0.159781,3,216.213782
0.037558,17,216.486054
0.284572,20,217.449342
-0.02,1,217.456243
0.534307,2,217.625193
0.541633,10,217.943485
0.030936,5,218.093198
0.143327,6,218.265517
0.049971,2,218.276671
0.188326,9,218.494
-0.02,1,218.50069
0.217209,19,218.865583
0.179846,6,219.082589
-0.02,1,219.088191
0.191775,2,219.16319
0.337702,4,219.258699
0.344206,7,219.506024
0.284097,9,219.789026
0.047279,11,220.02701
0.134662,7,220.292783
-0.02,1,220.298371
-0.028211,30,221.065656
0.277478,11,221.32954
0.280057,17,221.816195
0.271777,4,221.919121
0.375659,2,222.077916
-0.02,1,222.085232
-0.435453,30,222.97621
-0.02,1,222.982611
-0.147482,22,223.58464
0.486815,6,223.774839
0.063952,3,223.918225
0.352552,3,224.163543
-0.141567,11,224.468203
0.200969,10,224.802838
0.18836,4,225.00429
0.091602,25,225.601119
0.221275,4,225.72699
