#{"t_start": 1779067148.4971375, "env_id": "None"}
r,l,t
-0.01,1,9.059377
0.112592,5,9.083949
-0.522255,20,9.173604
-0.386231,6,9.201648
-0.01,1,9.206932
0.151023,6,9.239282
0.040079,2,9.24897
0.110495,4,9.268871
0.04549,2,9.279484
-0.258526,6,9.308321
-0.01,1,9.314716
-0.593551,11,9.364941
0.038561,4,9.385579
0.101879,4,9.40625
-0.01,1,9.411631
-0.01,1,9.420118
-0.012,2,9.429696
-0.539684,7,9.462878
0.090892,4,9.48226
-0.280955,9,9.5228
-0.769875,7,9.555702
0.002401,2,9.56645
-0.237713,7,9.599039
-0.420833,10,9.64648
-0.01,1,9.651683
0.06809,3,9.667656
-0.01,1,9.672818
-0.467926,13,9.729556
0.003958,2,9.74212
0.159166,3,9.757425
-0.09432,5,9.781295
-0.136896,4,9.799908
0.124841,5,9.823335
-0.317514,4,9.845219
0.121384,4,9.866179
0.014144,2,9.875845
-0.326616,4,9.894418
-0.42247,13,9.956081
-0.01,1,9.961666
-0.227346,2,9.970613
-0.532056,2,9.98065
-0.200024,17,10.060912
0.041391,2,10.071939
-0.01,1,10.077437
-0.275968,3,10.092036
-0.744179,4,10.111608
-0.01,1,10.117128
-0.398673,6,10.14411
-0.258633,5,10.169611
0.029679,2,10.180442
-0.01,1,10.185737
-0.425956,2,10.195978
-0.50471,5,10.219478
-0.283279,8,10.260282
-0.579806,3,10.274398
-0.391469,7,10.305673
-0.57585,6,10.332225
-0.281979,4,10.352777
0.03265,4,10.374017
-0.281871,17,10.451705
-0.570416,6,10.480054
0.113838,6,10.511141
-0.012,2,10.521859
0.028994,5,10.545225
-0.238216,12,10.601274
-0.272362,9,10.644995
-0.01,1,10.651934
-0.52629,5,10.67634
-0.341696,13,10.735585
-0.485746,12,10.793779
-0.421732,8,10.833865
0.245569,9,10.87785
-0.652341,2,10.888214
0.067859,3,10.905088
0.008224,5,10.929584
-0.505738,5,10.952906
-0.01,1,10.958415
-0.546441,8,10.997355
-0.01,1,11.004109
-0.456509,5,11.028102
-0.702588,24,11.137367
-0.146438,10,11.185133
-0.575603,9,11.226119
-1.289431,25,11.332605
-0.261954,8,11.369962
-0.543047,24,11.483633
0.088607,2,11.494177
0.023525,2,11.505196
0.115693,4,11.524188
-0.422524,3,11.53985
0.021528,4,11.559226
-0.01,1,11.564554
-0.390907,6,11.592527
-0.398831,4,11.613069
-0.01,1,11.619705
-0.513684,10,11.662897
-0.338774,2,11.673019
-0.220646,10,11.720272
-0.273727,5,11.742993
-0.01,1,11.749434
0.100719,10,11.794985
-0.227891,2,11.807553
-0.417828,2,11.816652
-0.012,2,11.82777
-0.01,1,11.833354
0.001521,3,11.851021
-0.387643,7,11.88373
0.092295,4,11.905075
-0.773396,23,12.015141
-0.125736,6,12.045694
-0.701979,4,12.063928
-0.012,2,12.073775
0.015719,4,12.093078
0.017678,2,12.105431
0.039609,2,12.116134
-0.01,1,12.121622
-0.172832,5,12.145631
-0.01,1,12.152335
-0.201222,6,12.179434
-0.01,1,12.185874
-0.01,1,12.19118
-0.01,1,12.197813
-0.876745,10,12.244956
-0.01,1,12.250884
-0.473504,26,12.375173
0.114378,2,12.387684
0.027369,2,12.397476
0.013007,2,12.408508
-0.01,1,12.414037
-0.01,1,12.421514
-0.527443,3,12.436072
-0.882386,7,12.467988
-0.336191,3,12.48228
-0.245456,4,12.502178
-0.823119,8,12.537939
-0.135591,12,12.59512
-0.288063,12,12.651846
0.038806,3,12.667204
-0.115546,14,12.732982
-0.226735,5,12.755754
0.120624,5,12.779393
0.011101,2,12.791316
-0.358658,7,12.826521
0.007518,2,12.836822
0.058437,2,12.848661
-0.53028,8,12.888644
-0.795075,3,12.901294
-0.557133,8,12.937958
0.02408,6,12.967443
0.068904,5,12.993228
-0.465883,3,13.007539
0.076439,3,13.022414
0.044382,3,13.037466
-0.01,1,13.045482
0.006977,2,13.055442
-0.478737,3,13.070097
0.143794,7,13.10387
-0.635,11,13.154768
-0.645171,3,13.169414
0.002409,2,13.180335
-0.01,1,13.185766
-0.01,1,13.192451
0.006374,5,13.21638
-0.01,1,13.222942
-0.431745,4,13.242022
-0.320242,4,13.262382
-0.357847,3,13.275607
0.197591,5,13.300544
-0.322223,4,13.319238
-0.958932,6,13.354308
-0.56685,19,13.440658
0.079564,4,13.461432
-0.20988,4,13.480316
-0.307888,3,13.496121
-0.616937,39,13.675395
0.057706,3,13.690192
0.089479,3,13.705394
-0.81689,18,13.78635
0.01133,2,13.797071
-0.549978,3,13.811399
-0.452589,5,13.833457
-0.590132,6,13.861461
0.069973,2,13.872327
-0.709581,5,13.89428
-0.01,1,13.899549
0.057143,3,13.91605
-0.230086,8,13.952854
-0.932933,12,14.005898
0.038278,3,14.020952
0.026606,3,14.037572
-0.178802,6,14.065408
-0.729871,5,14.087271
-0.71192,7,14.118221
-0.01,1,14.125017
-0.893004,22,14.227876
0.006013,2,14.237518
-0.012,2,14.248413
-0.663249,5,14.27305
-0.431368,8,14.310677
-0.01,1,14.316123
-0.249321,8,14.352427
0.010922,3,14.369385
0.189369,6,14.400138
-0.01,1,14.405558
-0.179025,11,14.455581
-0.012,2,14.466518
0.163928,3,14.48297
-0.01,1,14.488463
-0.251696,4,14.507687
-0.399771,8,14.545955
-0.479672,9,14.587335
0.153787,3,14.60249
-0.490025,11,14.652521
-0.290275,9,14.695908
-0.687572,7,14.727024
0.051787,2,14.736508
-0.01,1,14.742969
-0.420197,3,14.756639
0.30166,3,14.771711
-0.489631,12,14.827202
-0.01,1,14.832739
-0.257137,5,14.86045
0.022507,3,14.877697
-0.602824,2,14.889898
-0.01,1,14.896985
-0.343885,4,14.921117
-0.539457,4,14.942727
-0.790329,8,14.981391
-0.946642,22,15.081511
0.043724,2,15.093355
-0.01,1,15.099201
0.035379,4,15.122143
0.168125,5,15.14712
-0.656404,4,15.166439
-0.01,1,15.171772
-0.012,2,15.181161
-1.208436,16,15.251914
0.04497,3,15.268197
0.118418,4,15.287604
-0.536506,2,15.297709
0.019754,2,15.307466
-0.01,1,15.315097
-0.01,1,15.321708
-0.596073,21,15.416322
0.033344,2,15.425848
-0.01,1,15.433984
-0.458684,11,15.481991
0.000721,3,15.496756
0.08427,4,15.516368
-0.012,2,15.529546
0.154956,2,15.539149
-0.432068,9,15.579476
-0.262148,5,15.603985
-0.254194,4,15.625468
0.004602,5,15.648412
-0.367561,8,15.684321
-0.489248,9,15.724179
0.075291,8,15.764055
-0.400925,3,15.778197
-0.410712,7,15.810151
-0.523979,13,15.869008
-0.63576,29,16.003262
0.026488,12,16.060987
0.031931,2,16.071855
0.063807,4,16.09117
0.132683,8,16.129525
-0.01,1,16.134848
-0.418369,3,16.149636
0.035811,2,16.159264
0.076011,5,16.184115
-0.192962,4,16.202852
-0.458748,3,16.217432
-0.495926,6,16.246891
0.112041,8,16.285825
-0.152489,5,16.308674
-0.01,1,16.314077
0.159473,7,16.348166
-0.275627,13,16.408223
-0.01,1,16.413557
-0.208009,10,16.460959
-0.012,2,16.47036
0.316121,5,16.496652
-0.01,1,16.501974
-0.26763,13,16.561738
-0.268009,7,16.594234
-0.988204,15,16.66512
0.003358,2,16.675074
-0.644909,16,16.74733
0.031645,4,16.768568
0.139327,5,16.795023
-0.675027,7,16.826323
-0.645935,3,16.841131
0.006422,3,16.857808
-0.447114,19,16.949424
0.007669,2,16.962434
0.051018,3,16.978814
-0.350326,6,17.006324
-0.447439,2,17.017712
0.006749,3,17.031587
0.001358,2,17.042334
-0.702293,10,17.086217
-0.455017,18,17.169575
-0.49071,22,17.268104
-0.691585,9,17.310299
-0.495876,9,17.353026
-0.01,1,17.360287
0.201401,5,17.386225
0.036388,4,17.406721
-0.01,1,17.41417
0.106284,2,17.42639
-0.070475,12,17.487923
-0.563846,2,17.498745
-0.099417,7,17.532688
-0.30293,5,17.560018
-0.44839,3,17.573598
0.01044,3,17.589877
-0.012,2,17.600979
-0.01,1,17.608158
0.213449,6,17.636785
-0.544271,11,17.687376
0.11328,4,17.706726
0.188121,3,17.723728
-0.169869,15,17.792363
-0.01,1,17.797676
-0.01,1,17.802955
0.14474,7,17.838464
-0.694302,10,17.882346
0.151592,5,17.908385
-0.680202,5,17.930207
0.155647,5,17.955367
-0.01,1,17.96069
0.00327,3,17.976158
-0.446749,2,17.986137
-0.332509,4,18.007231
-0.566943,2,18.015917
-0.1858,6,18.044234
-0.437926,2,18.053071
0.107414,8,18.093209
-0.665901,29,18.225115
-0.304284,5,18.249041
-0.683381,6,18.275807
0.055397,9,18.325039
-0.381421,3,18.341338
-0.52235,5,18.365906
-1.029404,26,18.486288
-0.091117,13,18.550486
-0.594413,6,18.578823
-0.834455,6,18.605033
-0.304888,25,18.721429
-0.257764,5,18.747229
-0.259757,9,18.789083
0.004927,3,18.804189
-0.012,2,18.813658
0.295923,5,18.839644
-0.765176,5,18.863261
-0.211625,5,18.887507
-0.01,1,18.893332
-0.245579,7,18.931341
-0.888584,7,18.962407
0.109199,3,18.97646
-0.01,1,18.98297
-0.01,1,18.989866
-0.01,1,18.99506
0.027451,2,19.005661
-0.01,1,19.011024
-0.190239,3,19.028388
0.014016,2,19.037978
0.039682,2,19.048677
-0.01,1,19.053959
-0.341412,5,19.077817
0.028114,2,19.088578
-0.3469,16,19.162324
0.028349,3,19.176182
-0.01,1,19.184466
0.068502,8,19.222977
-0.904135,14,19.287065
-0.461601,15,19.358397
0.010119,14,19.423659
-0.210626,4,19.444314
0.073967,9,19.488207
0.035923,6,19.516736
0.020189,3,19.534972
-0.859409,19,19.622546
-0.458507,7,19.656228
-0.613711,13,19.71486
-0.01,1,19.721734
-0.761487,18,19.801796
0.048684,4,19.82115
-0.01,1,19.827669
0.025944,4,19.849969
0.099763,9,19.894095
-0.34049,5,19.916836
-0.01,1,19.922078
-0.578222,3,19.936972
0.026172,3,19.952974
0.016002,9,19.99474
-0.358502,8,20.030752
-0.785547,20,20.123334
-0.397532,2,20.13329
-1.038966,35,20.288492
0.129308,4,20.307846
0.042687,2,20.32016
0.02679,15,20.391987
-0.012,2,20.401466
-0.435382,7,20.43337
0.035049,2,20.444451
-0.330991,5,20.470236
-0.01,1,20.475669
-0.472787,4,20.494516
-0.01,1,20.501263
-0.420693,7,20.533978
-0.01,1,20.539284
-0.01,1,20.544547
-0.360451,4,20.564597
-0.01,1,20.57141
-0.469708,2,20.5804
-0.01,1,20.585674
0.313342,8,20.624496
-0.730933,9,20.668167
-0.01,1,20.673682
0.227576,4,20.69369
-0.399826,7,20.727603
-0.51354,8,20.763579
0.021644,2,20.774231
-0.658771,16,20.84523
-0.01,1,20.85201
0.183979,8,20.892123
-0.518378,15,20.96497
-0.01,1,20.970611
-0.309734,9,21.017864
-0.01,1,21.023268
-0.174079,7,21.056504
0.038372,2,21.065936
-0.01,1,21.072812
-0.01,1,21.080549
-0.76029,10,21.12407
-0.518978,6,21.151256
-0.32194,5,21.178134
-0.54124,4,21.197394
0.023888,4,21.217863
-0.01,1,21.223427
-0.322933,2,21.234938
-0.606374,12,21.290944
0.038836,6,21.319459
0.054576,3,21.334676
-0.857183,10,21.380361
0.014853,3,21.397695
-0.380239,3,21.412248
-0.465102,11,21.463121
-0.548093,8,21.5022
-0.526243,10,21.546871
0.028701,3,21.562382
-0.145062,6,21.591754
0.025715,2,21.604586
-0.410895,8,21.643401
0.003082,5,21.667215
0.062367,5,21.690622
-0.318146,8,21.729378
-0.300519,8,21.765787
-0.01,1,21.772393
-0.181789,7,21.80484
0.053354,3,21.821778
-0.01,1,21.827054
-0.012,2,21.838045
-0.01,1,21.84347
0.063322,5,21.869402
0.096017,11,21.92382
0.075933,8,21.962229
0.005529,4,21.982674
-0.483851,9,22.02698
-0.213012,10,22.073802
-0.01,1,22.079173
-0.208472,12,22.136674
0.058608,2,22.149132
-0.459701,10,22.194559
-0.885463,21,22.289574
-0.658703,6,22.318996
0.061193,3,22.335638
-0.342767,3,22.348938
0.041504,2,22.360063
-0.01,1,22.365412
0.029166,3,22.382053
-0.456727,4,22.400549
-0.012,2,22.410038
-0.221745,5,22.435517
-0.01,1,22.442305
0.038324,2,22.45186
-0.267762,10,22.498307
0.019684,2,22.507947
0.097956,4,22.530102
-0.78322,14,22.595345
0.016404,2,22.605364
-0.714026,16,22.683603
-2.8e-05,4,22.705669
-0.01,1,22.712144
0.166063,9,22.755869
0.096357,21,22.854013
-0.55022,2,22.86669
0.156458,5,22.891032
-0.457996,7,22.92565
0.033308,5,22.953737
-0.246287,12,23.014329
-0.587544,8,23.052258
-0.221908,13,23.113914
-0.01,1,23.119471
-0.248397,7,23.156424
0.057636,7,23.192071
-0.01,1,23.197546
-0.23042,6,23.226914
-0.287932,3,23.242805
-0.376162,7,23.275853
0.154502,6,23.30618
-0.194133,17,23.386807
0.352989,5,23.412778
-0.50627,12,23.469708
-0.432681,7,23.502195
0.038465,2,23.511885
-0.489534,8,23.551012
-0.012,2,23.562017
-0.081615,6,23.589328
-0.372583,4,23.60795
-0.663783,5,23.63328
0.070808,2,23.643613
0.222239,5,23.669504
-0.01,1,23.676013
-0.212362,16,23.752181
-0.42867,9,23.792997
-0.68222,10,23.836983
-0.416639,5,23.862638
-0.452245,11,23.91171
0.175997,8,23.949261
0.071552,2,23.961207
-0.647666,16,24.034158
-0.546267,9,24.078265
0.011483,3,24.093862
-0.28964,4,24.112971
-0.059184,9,24.154221
-0.631339,3,24.170677
0.267722,7,24.203919
0.084298,3,24.217616
-0.439929,3,24.232269
-0.01,1,24.238962
0.1357,6,24.269242
0.036729,3,24.284244
-0.479621,10,24.330453
0.043128,3,24.347414
0.132692,10,24.39539
0.016505,3,24.41145
-0.591594,16,24.483811
-0.301097,3,24.499888
0.050481,19,24.588284
-0.390793,9,24.628705
0.017738,2,24.638131
-0.01,1,24.646336
-0.014,3,24.660714
0.095222,6,24.692402
-0.408976,9,24.733737
-0.894018,13,24.795118
0.14123,12,24.851152
0.037123,2,24.862061
-0.280356,14,24.92941
-0.187645,10,24.981786
-0.531267,6,25.009885
-0.642886,11,25.059367
-0.01,1,25.064656
0.008129,3,25.080992
0.073588,3,25.097197
0.174791,4,25.118309
0.019111,3,25.134826
-1.008793,18,25.219553
0.073552,3,25.235836
-0.01,1,25.241277
0.093512,6,25.270543
-0.439633,7,25.304399
-0.01,1,25.311162
-0.30987,10,25.356887
-0.191426,8,25.395803
-0.01,1,25.402702
0.115192,3,25.418242
-0.392272,2,25.428491
0.123954,9,25.470158
-0.01,1,25.477024
0.01556,5,25.502867
-0.181477,3,25.517811
-0.531654,18,25.600205
-0.565228,18,25.685042
0.094635,3,25.699887
-0.01,1,25.706462
0.171296,3,25.72191
0.093855,5,25.746989
0.020209,4,25.76705
-0.434645,8,25.802049
-0.164765,6,25.831943
-0.01,1,25.838606
0.014632,3,25.85357
-0.18885,10,25.898533
-0.01,1,25.903828
-0.000427,2,25.917194
-0.330321,6,25.943609
-0.253563,6,25.971909
0.003721,5,25.995562
-0.383531,10,26.043605
0.05463,2,26.053135
0.002825,3,26.068506
-0.288194,9,26.110451
0.075491,5,26.136934
-0.01,1,26.143607
-0.605223,9,26.183751
-0.01,1,26.189115
0.073963,3,26.206147
-0.412244,3,26.222255
-0.176979,23,26.330997
-0.588943,8,26.368206
-0.775447,5,26.393626
0.120164,5,26.417585
-0.530893,2,26.427639
-0.604246,9,26.470504
-0.115971,18,26.561397
-0.01,1,26.566905
-0.370881,9,26.609659
-0.592888,5,26.631581
0.129221,5,26.658055
0.000858,2,26.668799
-0.01,1,26.674255
0.016047,2,26.684233
0.011136,3,26.701783
-0.198901,5,26.725439
0.124538,6,26.756282
-0.01,1,26.761679
-0.342941,11,26.813362
0.114735,3,26.827988
-0.359476,8,26.867191
0.015945,2,26.877043
-0.500908,35,27.044828
-0.192813,9,27.086251
-0.17497,8,27.123051
-0.01,1,27.128333
-0.642318,4,27.148749
-0.01,1,27.155463
0.108912,2,27.165091
-0.327708,4,27.183714
-0.01,1,27.190377
-0.519179,6,27.218625
-0.00261,3,27.234054
-0.01,1,27.239413
-0.073422,12,27.298781
-0.553583,15,27.370795
-0.647486,3,27.384272
0.064704,5,27.409685
-0.41212,11,27.472927
-0.01,1,27.480103
-0.299013,12,27.543951
-0.012,2,27.554594
-0.079745,18,27.642601
-0.029629,12,27.69836
0.074584,3,27.712413
0.078086,2,27.723117
-0.281036,13,27.784005
0.066282,3,27.798893
0.062695,2,27.808634
-0.942472,19,27.894012
0.215743,13,27.956737
0.038631,4,27.977
0.045844,3,27.99308
-0.01,1,27.998468
-0.843916,11,28.047949
0.045104,5,28.071448
-0.817752,14,28.134592
-0.690261,10,28.178913
0.050223,2,28.191795
-0.012,2,28.202047
-0.660298,27,28.338307
-0.01,1,28.343994
-0.348362,14,28.41376
-0.506193,7,28.446075
-0.668631,14,28.520964
0.077137,4,28.542086
-0.215855,7,28.57709
-0.01,1,28.582499
-0.340498,11,28.637171
-0.460054,23,28.74628
-0.532128,3,28.760174
-0.541491,17,28.841186
0.081164,2,28.850972
-0.48853,5,28.87313
0.143494,5,28.901259
0.233756,5,28.92724
-0.268534,7,28.96202
-0.347742,8,29.001691
-0.263749,4,29.023985
-0.406943,4,29.043121
-0.221714,10,29.088503
-0.504067,10,29.136381
-0.220092,9,29.180869
-0.382992,6,29.208365
0.197111,12,29.266435
0.013264,2,29.277323
0.0691,6,29.307898
-0.393705,4,29.328295
-0.145847,15,29.402156
-0.736157,9,29.446149
-0.01,1,29.454441
-0.120811,3,29.467752
-0.395857,8,29.504632
0.112847,4,29.524036
0.057786,3,29.54156
-0.268803,9,29.582475
0.125297,4,29.601585
-0.72106,12,29.657759
-0.346572,12,29.713632
-0.592054,19,29.797982
-0.01,1,29.803239
-0.01,1,29.809536
-0.198943,8,29.849678
-0.527771,14,29.913172
0.053761,3,29.928151
0.084726,3,29.944002
-0.811275,27,30.062244
0.331933,10,30.10903
-0.495381,6,30.135902
-0.506703,14,30.201341
-0.241591,16,30.279161
-0.70455,25,30.39263
0.077186,4,30.412222
-0.177781,2,30.422308
-0.414089,3,30.437318
-0.186369,7,30.471447
-0.640227,9,30.511085
-0.349005,16,30.58548
-0.288753,12,30.642664
0.279538,24,30.754076
-0.322335,10,30.802212
-0.745962,8,30.838192
-0.01,1,30.845021
0.139617,17,30.925905
0.029335,4,30.945285
-0.29546,6,30.977075
-0.767733,7,31.011404
-0.01,1,31.016746
-0.43564,8,31.053949
-0.706745,14,31.118017
0.049137,9,31.162378
-0.215737,9,31.204988
-0.424634,10,31.250674
-0.422596,8,31.288774
-0.01,1,31.296992
-0.933835,13,31.354759
-0.38203,17,31.435312
-0.114515,11,31.487872
0.009017,2,31.499013
-0.361355,7,31.530741
0.017735,3,31.545997
