episode,initial_length,final_length,best_length,relative_improvement,total_reward,num_steps,terminated,truncated,count_stop,count_two_opt,count_swap,count_relocate,count_perturb_two_opt
17,7.2922680903895944,6.038255458261278,6.038255458261278,0.17196469144914828,0.012462692620787991,100,False,True,0,11,29,60,0
18,5.7336500189391275,5.651744433650441,5.651744433650441,0.014285068851105318,-0.18164583855076777,100,False,True,0,2,27,71,0
19,6.18651041833115,5.387555643095611,5.387555643095611,0.1291446584924789,-0.043670699611565535,100,False,True,0,30,8,62,0
20,6.990153172979012,6.047995886818861,6.047995886818861,0.13478349656229766,-0.042371419108107794,100,False,True,0,10,0,90,0
21,7.220814490103614,5.741915120691232,5.741915120691232,0.2048106029367279,0.03735128051991027,100,False,True,0,8,0,92,0
22,6.358843453665077,5.848366859113128,5.848366859113128,0.08027821384055676,-0.09989105488827014,100,False,True,0,2,53,45,0
23,6.5829768540403295,5.366525848242439,5.366525848242439,0.18478737397523864,0.028786324352166714,100,False,True,0,38,0,62,0
24,8.11471334561516,6.536733378528406,6.536733378528406,0.1944591139426294,0.29970966649079733,63,True,False,1,7,0,55,0
25,7.476109505207652,5.983684014232304,5.983684014232304,0.19962595383812473,0.03364891288100455,100,False,True,0,17,0,83,0
26,6.352547502235532,5.608562173119307,5.608562173119307,0.11711605916436008,-0.05628439978515974,100,False,True,0,8,0,92,0
27,7.75449623681506,6.147102419656283,6.147102419656283,0.20728539521723566,0.37500678473928145,46,True,False,1,8,0,37,0
28,7.821086484506784,6.528188538775119,6.528188538775119,0.16530925061279367,0.2615376279634578,57,True,False,1,7,8,41,0
29,6.74736217569009,6.274018506639427,6.274018506639427,0.07015240277986876,-0.11400938172970886,100,False,True,0,13,26,61,0
30,6.757997817468308,5.647370348120659,5.647370348120659,0.16434267949552459,-0.0011295721638729436,100,False,True,0,7,30,63,0
31,7.077260685703184,5.878840117606183,5.878840117606183,0.16933395862016748,0.21771745082850127,80,True,False,1,8,18,53,0
32,6.2441057890689065,5.621862414893922,5.621862414893922,0.09965291992078351,-0.07556440364312729,100,False,True,0,11,27,62,0
33,7.364644865864165,6.3512128008952535,6.3512128008952535,0.13760773036949356,-0.025615670690833356,100,False,True,0,19,18,63,0
34,7.906900760754095,6.463359277909045,6.463359277909045,0.18256729488879747,0.24823805542360797,80,True,False,1,10,29,40,0
35,6.523285701818098,5.680846229123423,5.680846229123423,0.12914342728540615,-0.040145923571162534,100,False,True,0,22,44,34,0
36,7.180056790069949,5.904608679420788,5.904608679420788,0.17763760760403893,0.021085549697979093,100,False,True,0,25,21,54,0
37,7.269253489163477,6.222547119935102,6.222547119935102,0.1439909023380097,-0.024701003040682075,100,False,True,0,9,35,56,0
38,7.83946838491405,6.124119556235218,6.124119556235218,0.21880933048722773,0.4183137346083792,33,True,False,1,4,0,28,0
39,7.014246369477693,5.998373684374047,5.998373684374047,0.14482991209493137,-0.020674364397416448,100,False,True,0,14,54,32,0
40,7.384000315023715,5.95059640591658,5.95059640591658,0.19412294798940985,0.3202248338439103,52,True,False,1,8,1,42,0
41,6.617897593111751,6.151786552640305,6.151786552640305,0.07043189078002639,-0.12120208190728957,100,False,True,0,2,0,98,0
42,6.725490706444825,5.6464340453189115,5.6464340453189115,0.1604428149892301,-0.008656330351463673,100,False,True,0,7,26,67,0
43,6.720942954305009,5.791313347585025,5.791313347585025,0.13831833018676676,-0.035622663108934985,100,False,True,0,95,0,5,0
44,7.472022322146907,6.196362126149587,6.196362126149587,0.17072489093297963,0.000691048383899745,100,False,True,0,2,25,73,0
45,6.750119826241188,6.0618673969059556,6.0618673969059556,0.10196151284005972,-0.07816074366890279,100,False,True,0,5,27,68,0
46,6.881521400581392,5.360461585751572,5.360461585751572,0.22103539701283387,0.38322362949839395,50,True,False,1,1,0,48,0
47,7.324860252392075,5.968809794411028,5.968809794411028,0.18512987432602593,0.3123483157153695,52,True,False,1,6,4,41,0
48,7.358845061512038,6.159552307838852,6.159552307838852,0.16297295888803026,-0.0034278247177372233,100,False,True,0,29,15,56,0
49,6.567541671636912,5.804004914971432,5.804004914971432,0.11625914152367668,-0.0622182015577284,100,False,True,0,27,14,59,0
50,6.701578858172847,5.81980425252536,5.81980425252536,0.13157714388037484,-0.04419438197014476,100,False,True,0,19,19,62,0
51,6.817879893585066,5.876348095816775,5.876348095816775,0.13809744560830073,-0.04112151216167277,100,False,True,0,6,4,90,0
